VFID,RAgas,DECgas,COreference,alphaCO,Mmol,Mmol_err_up,Mmol_err_down,r21,err_r21,tdep,tdep_err_up,tdep_err_down,HIreference,MHI,MHI_err_up,MHI_err_down,MH2_to_MHI,MH2_to_MHI_err_up,MH2_to_MHI_err_down,H2def,errH2def,HIdef,errHIdef,Separation,MH2,MH2_err_up,MH2_err_down,Mgas
VFID0234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0259,191.5038458,64.5693444,AMIGA,,204173794.46695316,-1.0,-1.0,,,691830970.9189373,-1.0,-1.0,AMIGA,9.691732640566562,9.194510248451973,9.074510248451974,0.0415209574395126,-1.0,-1.0,0.0914021596463889,-1.0,-0.4307540853414195,0.1382171453835724,0.0,8.31,0.9871940506962128,0.9871933594266427,9.709400653792969
VFID0260,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0270,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0290,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
