VFID,RAdeg,DEdeg,HV,Vcosmic,Vmodel,HyperLeda,NED,PGC,NSAV0,NSAV1,AGC,CO,A100,redshift
1308,173.427204,50.44956,3000,3304,3304,SDSSJ113342.53+502658.3,WISEA J113342.56+502657.9,3473097.0,38333.0,184556.0,,False,False,0.011
1309,214.803147,50.44074,2234,2596,2596,SDSSJ141912.72+502626.5,WISEA J141912.82+502626.3,4004557.0,43069.0,208516.0,,False,False,0.0087
1310,209.297826,50.43576,1866,2246,2246,UGC08880,UGC 08880,49634.0,68997.0,338974.0,,False,False,0.0075
1311,179.119875,50.42839,912,1475,1227,UGC06917,UGC 06917,37525.0,,,,False,False,0.0049
1312,129.049021,50.41909,3244,3494,3494,UGC04505,UGC 04505,24160.0,10200.0,49936.0,,False,False,0.0117
1313,215.404787,50.39034,2309,2668,2668,PGC051309,CGCG 273-003,51309.0,43134.0,208848.0,,False,False,0.0089
1314,215.459164,50.38836,2375,2731,2731,PGC2371585,SDSS J142150.15+502318.0,2371585.0,43066.0,208508.0,,False,False,0.0091
1315,150.106332,50.37923,539,718,718,SDSSJ100025.50+502245.1,WISEA J100025.46+502245.0,3998729.0,40801.0,196173.0,,False,False,0.0024
1316,181.344603,50.35292,784,1449,1042,NGC4085,NGC 4085,38283.0,161021.0,665397.0,,False,False,0.0048
1317,213.095055,50.34845,1877,2811,2256,NGC5520,NGC 5520,50728.0,164654.0,613077.0,,False,False,0.0094
1318,186.40158,50.33697,2476,2812,2812,PGC040525,CGCG 269-056,40525.0,38790.0,186142.0,,False,False,0.0094
1319,186.368279,50.32887,2505,2840,2840,PGC2369792,WISEA J122528.37+501943.7,2369792.0,38791.0,186147.0,,False,False,0.0095
1320,142.155879,50.3255,1509,1827,1827,PGC2369692,WISEA J092837.46+501932.3,2369692.0,34094.0,165069.0,,False,False,0.0061
1321,173.305669,50.30233,3138,3443,3438,UGC06535,UGC 06535,35671.0,38328.0,184549.0,,False,False,0.0115
1322,176.276106,50.30074,1672,2043,2043,PGC2368928,SDSS J114506.25+501802.4,2368928.0,38456.0,184870.0,,False,False,0.0068
1323,182.732712,50.28837,888,1196,1196,UGC07176,UGC 07176,38767.0,,627868.0,,False,False,0.004
1324,218.839202,50.2865,2055,2425,2425,PGC2368508,WISEA J143521.41+501711.5,2368508.0,43157.0,208953.0,,False,False,0.0081
1325,163.285185,50.28471,1388,1710,1747,UGC05998,UGC 05998,32678.0,138281.0,157300.0,,False,False,0.0057
1326,171.83799,50.2759,1665,2030,2030,SDSSJ112721.12+501633.3,VV 265a,4074680.0,38301.0,184492.0,,False,False,0.0068
1327,158.999187,50.27539,849,1128,1128,PGC2368186,WISEA J103559.86+501630.8,2368186.0,32205.0,157133.0,,False,False,0.0038
1328,130.658456,50.27534,3143,3396,3396,SDSSJ084238.03+501631.1,WISEA J084238.08+501631.9,3996840.0,135439.0,622865.0,,False,False,0.0113
1329,140.488549,50.27026,756,1013,1013,PGC2807130,SDSS J092157.26+501612.7,2807130.0,,,,False,False,0.0034
1330,182.844908,50.26966,781,1038,1038,PGC038825,MCG +08-22-082,38825.0,140881.0,627878.0,,False,False,0.0035
1331,173.23474,50.24189,2932,5163,3237,IC0705,IC 0705,35644.0,38330.0,184551.0,,False,False,0.0172
1332,213.131383,50.24047,1812,2194,2194,PGC2816084,SBS 1410+504,2816084.0,69043.0,339283.0,,False,False,0.0073
1333,210.311243,50.2231,1766,2152,2152,PGC2366568,SBS 1359+504,2366568.0,69000.0,339005.0,,False,False,0.0072
1334,131.303476,50.22026,3215,3467,3467,PGC2366508,WISEA J084512.86+501313.9,2366508.0,10181.0,49868.0,,False,False,0.0116
1335,212.862061,50.20904,1893,2393,2271,UGC09083,UGC 09083,50664.0,144652.0,631352.0,,False,False,0.008
1336,130.90858,50.20553,3225,3476,3476,NGC2639,NGC 2639,24506.0,,647811.0,,False,False,0.0116
1337,218.408676,50.20078,2141,2507,2507,PGC2365887,2MASS J14333799+5012031,2365887.0,43152.0,208914.0,,False,False,0.0084
1338,176.48585,50.1998,745,1181,981,NGC3870,NGC 3870,36686.0,38464.0,184890.0,,False,False,0.0039
1339,139.717562,50.18788,630,854,854,PGC026326,MCG +08-17-077,26326.0,26748.0,131608.0,,False,False,0.0028
1340,178.490772,50.1801,862,1153,1153,UGC06874,UGC 06874,37319.0,38549.0,185155.0,,False,False,0.0038
1341,172.56306,50.17846,3186,3483,3483,PGC2365249,WISEA J113015.14+501042.3,2365249.0,38317.0,184537.0,,False,False,0.0116
1342,173.222296,50.15917,3093,3393,3393,PGC2364635,WISEA J113253.32+500933.1,2364635.0,38329.0,184550.0,,False,False,0.0113
1343,177.805964,50.1569,932,1273,1251,NGC3922,NGC 3922,37072.0,38541.0,185132.0,,False,False,0.0042
1344,164.244525,50.14061,1377,1738,1738,PGC032915,SBS 1054+504,32915.0,32259.0,157264.0,,False,False,0.0058
1345,160.716212,50.10516,1623,1970,1970,PGC2362930,WISEA J104251.90+500618.8,2362930.0,32241.0,157207.0,,False,False,0.0066
1346,178.16319,50.03779,1005,1349,1349,UGC06849,UGC 06849,37217.0,38550.0,185156.0,,False,False,0.0045
1347,210.664437,50.03163,2061,2430,2430,SDSSJ140239.47+500153.8,SDSS J140239.47+500153.8,4111248.0,69003.0,339015.0,,False,False,0.0081
1348,210.753379,50.01216,1915,2292,2292,PGC2816074,SBS 1401+502,2816074.0,69004.0,339019.0,,False,False,0.0076
1349,124.835571,50.00962,506,758,720,NGC2552,NGC 2552,23340.0,,,,False,False,0.0025
1350,204.005037,49.96079,1616,2246,2010,IC0902,IC 0902,47985.0,68921.0,338311.0,,False,False,0.0075
1351,217.878841,49.95884,2083,2735,2452,NGC5673,NGC 5673,51901.0,145223.0,631866.0,,False,False,0.0091
1352,254.860625,49.92197,1093,1474,1474,NGC6283,NGC 6283,59386.0,147575.0,633913.0,,False,False,0.0049
1353,180.254936,49.91301,912,1225,1225,UGC06999,UGC 06999,37893.0,38583.0,185243.0,,False,False,0.0041
1354,143.645127,49.90681,1995,2296,2296,SDSSJ093434.80+495424.3,SDSS J093434.80+495424.3,4017349.0,34101.0,165126.0,,False,False,0.0077
1355,218.113574,49.90478,2381,3091,2736,IC1029,IC 1029,51955.0,145245.0,631885.0,,False,False,0.0103
1356,222.176423,49.88701,3103,3437,3437,PGC084298,KUG 1447+500,84298.0,43221.0,209258.0,,False,False,0.0115
1357,259.714167,49.88422,928,1409,1304,UGC10806,UGC 10806,60052.0,,,,False,False,0.0047
1358,259.782165,49.85601,1019,1397,1397,PGC167108,WISEA J171907.80+495121.0,167108.0,,,,False,False,0.0047
1359,215.996499,49.83644,2178,2542,2542,SDSSJ142359.17+495011.2,SDSS J142359.16+495011.0,4004652.0,43129.0,208820.0,,False,False,0.0085
