Galaxy,Dist,n_Dist,log(D25),e_log(D25),COtrans,l_SCOD,SCOD,e_SCOD,fap,FWHM,e_FWHM,l_log(L'CO),log(L'CO),E_log(L'CO),e_log(L'CO),n_log(L'CO),l_r21,r21,e_r21,l_log(MH2),log(MH2),E_log(MH2),e_log(MH2)
NGC5981,50.90,a,1.44,0.05,2-->1,,27.34,4.02,0.20,0,0,,8.33,0.06,0.07,,,0.00,0.00,,0.00,0.00,0.00
NGC5970,28.04,a,1.44,0.03,1-->0,,37.54,2.47,0.20,0,0,,8.55,0.03,0.03,,,0.00,0.05,,9.18,0.03,0.03
NGC5970,28.04,a,1.44,0.03,2-->1,,22.36,2.50,0.07,0,0,,8.17,0.05,0.05,,,0.00,0.00,,0.00,0.00,0.00
NGC5985,39.51,a,1.60,0.03,1-->0,,15.10,2.77,0.16,0,0,,8.57,0.07,0.09,,,0.00,0.13,,9.20,0.07,0.09
NGC5985,39.51,a,1.60,0.03,2-->1,,6.70,2.53,0.05,0,0,,8.08,0.14,0.21,b,,0.00,0.00,,0.00,0.00,0.00
NGC5989,43.70,,0.95,0.10,1-->0,,23.98,1.95,0.57,0,0,,8.29,0.03,0.04,,,0.00,0.06,,8.92,0.03,0.04
NGC5989,43.70,,0.95,0.10,2-->1,,23.44,2.00,0.30,0,0,,7.97,0.04,0.04,,,0.00,0.00,,0.00,0.00,0.00
UGC09991,39.78,a,1.09,0.04,1-->0,<,10.02,0.00,0.61,0,0,<,7.80,0.00,0.00,,,0.00,0.00,<,8.19,0.00,0.00
UGC09991,39.78,a,1.09,0.04,2-->1,<,11.12,0.00,0.37,0,0,<,7.46,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC6012,19.35,a,1.25,0.03,1-->0,,28.77,1.29,0.35,0,0,,7.88,0.02,0.02,,,0.00,0.04,,8.51,0.02,0.02
NGC6012,19.35,a,1.25,0.03,2-->1,,25.37,1.40,0.14,0,0,,7.61,0.02,0.02,,,0.00,0.00,,0.00,0.00,0.00
UGC10086,36.28,a,0.81,0.13,1-->0,,10.49,1.87,0.79,0,0,,7.63,0.07,0.09,,,0.00,0.09,,8.26,0.07,0.09
UGC10086,36.28,a,0.81,0.13,2-->1,,12.51,1.41,0.55,0,0,,7.26,0.05,0.05,,,0.00,0.00,,0.00,0.00,0.00
IC1151,34.32,a,1.35,0.02,1-->0,,14.47,2.28,0.35,0,0,,8.08,0.06,0.07,,,0.00,0.14,,8.71,0.06,0.07
IC1151,34.32,a,1.35,0.02,2-->1,,17.39,2.11,0.15,0,0,,7.91,0.05,0.06,,,0.00,0.00,,0.00,0.00,0.00
IC1210,49.06,a,1.14,0.08,1-->0,,22.35,3.02,0.58,0,0,,8.35,0.06,0.06,,,0.00,0.07,,8.99,0.06,0.06
IC1210,49.06,a,1.14,0.08,2-->1,,23.72,2.11,0.35,0,0,,7.99,0.04,0.04,,,0.00,0.00,,0.00,0.00,0.00
PGC057611,44.58,,0.52,0.41,1-->0,,11.70,1.90,0.90,0,0,,7.80,0.07,0.08,,,0.00,0.07,,8.44,0.07,0.08
PGC057611,44.58,,0.52,0.41,2-->1,,11.08,1.72,0.71,0,0,,7.28,0.06,0.07,,,0.00,0.00,,0.00,0.00,0.00
UGC10297,37.64,a,1.33,0.03,1-->0,,2.29,1.41,0.44,0,0,,7.26,0.21,0.41,b,,0.00,0.59,,7.93,0.10,0.13
UGC10297,37.64,a,1.33,0.03,2-->1,,4.65,1.18,0.25,0,0,,7.20,0.10,0.13,,,0.00,0.00,,0.00,0.00,0.00
UGC10413,45.89,a,1.01,0.05,1-->0,,3.62,1.71,0.65,0,0,,7.46,0.17,0.28,b,,0.00,0.24,,7.83,0.10,0.13
UGC10413,45.89,a,1.01,0.05,2-->1,,3.84,1.02,0.39,0,0,,7.10,0.10,0.13,,,0.00,0.00,,0.00,0.00,0.00
NGC6181,32.75,a,1.38,0.02,1-->0,,137.81,3.55,0.32,0,0,,9.05,0.01,0.01,,,0.00,0.02,,9.69,0.01,0.01
NGC6181,32.75,a,1.38,0.02,2-->1,,150.55,2.84,0.13,0,0,,8.87,0.01,0.01,,,0.00,0.00,,0.00,0.00,0.00
NGC6186,43.10,,1.20,0.04,1-->0,,94.24,2.65,0.49,0,0,,8.94,0.01,0.01,,,0.00,0.03,,9.58,0.01,0.01
NGC6186,43.10,,1.20,0.04,2-->1,,195.23,2.62,0.25,0,0,,8.95,0.01,0.01,,,0.00,0.00,,0.00,0.00,0.00
NGC6267,53.05,a,1.11,0.04,1-->0,,17.63,2.19,0.45,0,0,,8.43,0.05,0.06,,,0.00,0.08,,9.06,0.05,0.06
